GO-term	Name	Category	NumberOfProteinsInNetwork	TPD	P-value	FDR	ProteinAccessions	ProteinNames
GO:0005634	nucleus	cellular_component	85	21417	0.616204661	0.831254104	P11310|Q08117|P61586|P49454|P19784|P67870|P26358|Q7KZI7|P13984|Q92769|P09601|P14735|Q99567|P52948|P09884|P50897|P49642|P49643|P17612|P48556|P61019|Q92900|P25440|P09132|P61011|Q04724|Q04726|P35658|Q13617|P78406|O00116|Q13310|Q92820|O43818|Q5VU43|Q5VT06|Q14157|P62877|Q13283|O00566|P61970|P61962|O43823|Q6UX04|O95391|Q9BSJ2|O95684|Q96B26|O75592|Q96S66|Q76N32|Q92615|Q9NU22|Q8TEM1|Q13868|O60885|P37198|Q14181|Q9UH99|Q9Y3U8|Q8NEJ9|Q9NY61|P11940|Q9NZL9|Q9H845|Q9UHD2|Q9UJZ1|Q9NQT5|Q8N4C6|Q9BQ95|Q7Z3B4|Q9H2H8|Q9NXK8|Q9NW13|Q9NQT4|Q9NQC3|Q9H773|Q8TAD8|Q9BSC4|Q9H7Z7|Q9HAV7|Q8TD19|Q96HW7|Q96HR9|Q86VM9|	ACADM|AES|RHOA|CENPF|CSNK2A2|CSNK2B|DNMT1|MARK2|GTF2F2|HDAC2|HMOX1|IDE|NUP88|NUP98|POLA1|PPT1|PRIM1|PRIM2|PRKACA|PSMD8|RAB2A|UPF1|BRD2|SRP19|SRP54|TLE1|TLE3|NUP214|CUL2|RAE1|AGPS|PABPC4|GGH|RRP9|PDE4DIP|CEP350|UBAP2L|RBX1|G3BP1|MPHOSPH10|NUTF2|DCAF7|AKAP8|CWC27|SLU7|TUBGCP2|FGFR1OP|EXOSC8|MYCBP2|CLCC1|CEP68|LARP4B|MDN1|NUP210|EXOSC2|BRD4|NUP62|POLA2|SUN2|RPL36|NGDN|AATF|PABPC1|MAT2B|ACAD9|TBK1|STOML2|EXOSC3|NIN|ECSIT|NUP54|PPIL3|FBXL12|RBM28|EXOSC5|RTN4|DCTPP1|SNIP1|NOL10|PTGES2|GRPEL1|NEK9|INTS4|REEP6|ZC3H18|
GO:0005635	nuclear envelope	cellular_component	12	238	9.24E-05	0.009118541	P49454|Q99567|P52948|P09884|P35658|P78406|P61970|Q8TEM1|P37198|Q9UH99|Q7Z3B4|Q9NQC3|	CENPF|NUP88|NUP98|POLA1|NUP214|RAE1|NUTF2|NUP210|NUP62|SUN2|NUP54|RTN4|
GO:0005643	nuclear pore	cellular_component	8	47	6.43E-08	0.009118541	Q99567|P52948|P35658|P78406|P61970|Q8TEM1|P37198|Q7Z3B4|	NUP88|NUP98|NUP214|RAE1|NUTF2|NUP210|NUP62|NUP54|
GO:0005654	nucleoplasm	cellular_component	44	5517	0.165300386	0.386690647	P11310|P49454|P19784|P67870|P26358|Q7KZI7|P13984|Q92769|Q99567|P52948|P09884|P49642|P49643|P17612|P48556|Q92900|P25440|P61011|Q04724|Q04726|P35658|Q13617|O43818|Q14157|P62877|O00566|P61970|P61962|O43823|Q6UX04|O95391|Q9BSJ2|Q96B26|Q9NU22|Q13868|O60885|Q14181|Q9UHD2|Q9NQT5|Q9BQ95|Q9NQT4|Q8TAD8|Q96HW7|Q86VM9|	ACADM|CENPF|CSNK2A2|CSNK2B|DNMT1|MARK2|GTF2F2|HDAC2|NUP88|NUP98|POLA1|PRIM1|PRIM2|PRKACA|PSMD8|UPF1|BRD2|SRP54|TLE1|TLE3|NUP214|CUL2|RRP9|UBAP2L|RBX1|MPHOSPH10|NUTF2|DCAF7|AKAP8|CWC27|SLU7|TUBGCP2|EXOSC8|MDN1|EXOSC2|BRD4|POLA2|TBK1|EXOSC3|ECSIT|EXOSC5|SNIP1|INTS4|ZC3H18|
GO:0005657	replication fork	cellular_component	5	39	0.102330861	0.277942631	P26358|P09884|P49642|P49643|Q14181|	DNMT1|POLA1|PRIM1|PRIM2|POLA2|
GO:0005658	alpha DNA polymerase:primase complex	cellular_component	4	6	3.68E-04	0.009118541	P09884|P49642|P49643|Q14181|	POLA1|PRIM1|PRIM2|POLA2|
GO:0005667	transcription factor complex	cellular_component	4	19	0.048366032	0.26221336	Q08117|P13984|Q04724|Q04726|	AES|GTF2F2|TLE1|TLE3|
GO:0005681	spliceosomal complex	cellular_component	6	55	0.04852631	0.26221336	Q92900|Q6UX04|O95391|P11940|Q9H2H8|Q9NW13|	UPF1|CWC27|SLU7|PABPC1|PPIL3|RBM28|
GO:0005694	chromosome	cellular_component	18	949	0.691931672	0.894904459	P49454|P19784|P67870|P26358|Q92769|P52948|P09884|P49642|P49643|Q92900|O00566|O43823|O60885|Q14181|Q9UH99|Q8NEJ9|Q9NQT5|Q9NQT4|	CENPF|CSNK2A2|CSNK2B|DNMT1|HDAC2|NUP98|POLA1|PRIM1|PRIM2|UPF1|MPHOSPH10|AKAP8|BRD4|POLA2|SUN2|NGDN|EXOSC3|EXOSC5|
GO:0005730	nucleolus	cellular_component	21	1016	0.144360017	0.348513011	P09601|P09884|P09132|Q13617|P78406|O00116|O43818|O00566|O43823|Q96B26|Q92615|Q9NU22|Q13868|Q9Y3U8|Q8NEJ9|Q9NY61|Q9NQT5|Q8N4C6|Q9NW13|Q9NQT4|Q9BSC4|	HMOX1|POLA1|SRP19|CUL2|RAE1|AGPS|RRP9|MPHOSPH10|AKAP8|EXOSC8|LARP4B|MDN1|EXOSC2|RPL36|NGDN|AATF|EXOSC3|NIN|RBM28|EXOSC5|NOL10|
GO:0005737	cytoplasm	cellular_component	167	82990	0.535010577	0.777022434	P11310|O94973|P62330|P61586|P38606|Q15904|Q9Y276|P49454|Q96CW1|P12109|P19784|P67870|P00387|Q7KZI7|P27105|P13804|P55085|O95573|P35555|P55789|P06280|P62873|P63218|Q08379|Q14789|Q92769|P09601|P14735|P05556|Q9P0L2|P27448|P61006|Q08431|Q9HCE1|Q9Y6M9|Q99519|Q99567|P52948|O95613|O00469|P09884|P16435|P50897|P17612|P13861|P31323|P48556|P62820|P61019|P51148|P11233|P52306|P35241|Q92900|P25440|P09132|P61011|O76094|Q04724|Q15056|O76024|O75534|Q13724|P51149|Q00765|P35658|Q13617|P78406|O00116|O00203|O76061|Q13546|Q13310|Q92820|O14745|O75439|Q5VU43|Q66GS9|Q5VT06|Q14157|Q9UN86|P62877|Q99996|Q13283|Q9UDR5|Q9H4P4|P61970|P61962|O43823|Q96CW5|Q9Y4L1|O95391|P61916|Q9BSJ2|P61026|Q13438|Q12907|O14975|Q7Z7A1|O14578|O95684|Q9BV73|Q96B26|Q9NP72|Q9Y2I6|Q8N766|Q9BS26|O75592|Q92552|Q96S66|Q76N32|Q92615|Q9NU22|Q10713|Q8TEM1|Q96JC1|Q13868|O60885|P37198|Q14181|Q9UH99|Q9Y3U8|Q8NEJ9|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9NY61|P11940|Q96DZ1|Q9NZL9|Q9H845|Q9UHD2|Q9UJZ1|Q9NQT5|Q9Y375|Q9Y399|Q7Z5G4|Q8N4C6|Q9BQ95|P61106|Q9NXK8|Q96SN8|Q9H270|Q9NQT4|Q9NQC3|Q8IWA5|Q86YT6|Q9H173|P82663|Q9BQQ3|Q5VT66|P82675|Q9H773|Q8NBJ5|Q8TAD8|Q8IWF2|Q9H7Z7|Q9BZQ6|Q9HAV7|O43169|Q8TD19|Q8N183|Q96HR9|Q96DA6|Q4KMQ2|Q2T9J0|	ACADM|AP2A2|ARF6|RHOA|ATP6V1A|ATP6AP1|BCS1L|CENPF|AP2M1|COL6A1|CSNK2A2|CSNK2B|CYB5R3|MARK2|STOM|ETFA|F2RL1|ACSL3|FBN1|GFER|GLA|GNB1|GNG5|GOLGA2|GOLGB1|HDAC2|HMOX1|IDE|ITGB1|MARK1|MARK3|RAB8A|MFGE8|MOV10|NDUFB9|NEU1|NUP88|NUP98|PCNT|PLOD2|POLA1|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|PSMD8|RAB1A|RAB2A|RAB5C|RALA|RAP1GDS1|RDX|UPF1|BRD2|SRP19|SRP54|SRP72|TLE1|EIF4H|WFS1|CSDE1|MOGS|RAB7A|REEP5|NUP214|CUL2|RAE1|AGPS|AP3B1|STC2|RIPK1|PABPC4|GGH|SLC9A3R1|PMPCB|PDE4DIP|CEP135|CEP350|UBAP2L|G3BP2|RBX1|AKAP9|G3BP1|AASS|RNF41|NUTF2|DCAF7|AKAP8|TUBGCP3|HYOU1|SLU7|NPC2|TUBGCP2|RAB10|OS9|LMAN2|SLC27A2|CNTRL|CIT|FGFR1OP|CEP250|EXOSC8|RAB18|NINL|EMC1|ERP44|MYCBP2|MRPS27|CLCC1|CEP68|LARP4B|MDN1|PMPCA|NUP210|VPS39|EXOSC2|BRD4|NUP62|POLA2|SUN2|RPL36|NGDN|TIMM10B|TIMM10|TIMM9|TIMM8B|AATF|PABPC1|ERLEC1|MAT2B|ACAD9|TBK1|STOML2|EXOSC3|NDUFAF1|MRPS2|GOLGA7|NIN|ECSIT|RAB14|FBXL12|CDK5RAP2|VPS11|EXOSC5|RTN4|SLC44A2|MIB1|SIL1|MRPS25|GORASP1|MARC1|MRPS5|DCTPP1|COLGALT1|SNIP1|FOXRED2|PTGES2|EDEM3|GRPEL1|CYB5B|NEK9|NDUFAF2|REEP6|DNAJC19|ANO6|TYSND1|
GO:0005739	mitochondrion	cellular_component	39	5616	0.99998325	1	P11310|Q9Y276|P00387|Q7KZI7|P27105|P13804|O95573|P55789|P14735|Q9Y6M9|P16435|P17612|P52306|O00116|Q13546|O75439|Q9UDR5|O43823|Q92552|Q10713|Q8NEJ9|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9H845|Q9UJZ1|Q9Y375|Q9Y399|Q9BQ95|P82663|Q5VT66|P82675|Q9H773|Q9H7Z7|Q9HAV7|O43169|Q8N183|Q96DA6|	ACADM|BCS1L|CYB5R3|MARK2|STOM|ETFA|ACSL3|GFER|IDE|NDUFB9|POR|PRKACA|RAP1GDS1|AGPS|RIPK1|PMPCB|AASS|AKAP8|MRPS27|PMPCA|NGDN|TIMM10B|TIMM10|TIMM9|TIMM8B|ACAD9|STOML2|NDUFAF1|MRPS2|ECSIT|MRPS25|MARC1|MRPS5|DCTPP1|PTGES2|GRPEL1|CYB5B|NDUFAF2|DNAJC19|
GO:0005740	mitochondrial envelope	cellular_component	25	2446	0.998942434	1	P11310|Q9Y276|P00387|O95573|P55789|Q9Y6M9|O75439|Q92552|Q10713|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9H845|Q9UJZ1|Q9Y375|Q9Y399|Q9BQ95|P82663|Q5VT66|P82675|Q9HAV7|O43169|Q8N183|Q96DA6|	ACADM|BCS1L|CYB5R3|ACSL3|GFER|NDUFB9|PMPCB|MRPS27|PMPCA|TIMM10B|TIMM10|TIMM9|TIMM8B|ACAD9|STOML2|NDUFAF1|MRPS2|ECSIT|MRPS25|MARC1|MRPS5|GRPEL1|CYB5B|NDUFAF2|DNAJC19|
GO:0005741	mitochondrial outer membrane	cellular_component	4	69	0.929630953	1	P00387|O95573|Q5VT66|O43169|	CYB5R3|ACSL3|MARC1|CYB5B|
GO:0005743	mitochondrial inner membrane	cellular_component	19	1186	0.771043483	0.948447205	Q9Y276|Q9Y6M9|O75439|Q92552|Q10713|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9H845|Q9UJZ1|Q9Y375|Q9Y399|Q9BQ95|P82663|P82675|Q9HAV7|Q8N183|Q96DA6|	BCS1L|NDUFB9|PMPCB|MRPS27|PMPCA|TIMM10B|TIMM10|TIMM9|TIMM8B|ACAD9|STOML2|NDUFAF1|MRPS2|ECSIT|MRPS25|MRPS5|GRPEL1|NDUFAF2|DNAJC19|
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	cellular_component	3	4	0.005483653	0.034602076	P62072|Q9HAV7|Q96DA6|	TIMM10|GRPEL1|DNAJC19|
GO:0005746	mitochondrial respiratory chain	cellular_component	4	26	0.228493348	0.454620462	Q9Y276|Q9Y6M9|O75439|Q9Y375|	BCS1L|NDUFB9|PMPCB|NDUFAF1|
GO:0005758	mitochondrial intermembrane space	cellular_component	6	96	0.207075251	0.436090226	P55789|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9UJZ1|	GFER|TIMM10B|TIMM10|TIMM9|TIMM8B|STOML2|
GO:0005759	mitochondrial matrix	cellular_component	10	212	0.205084293	0.432523051	P11310|P13804|O75439|Q9UDR5|Q92552|Q10713|Q9Y399|P82675|Q9HAV7|Q96DA6|	ACADM|ETFA|PMPCB|AASS|MRPS27|PMPCA|MRPS2|MRPS5|GRPEL1|DNAJC19|
GO:0005761	mitochondrial ribosome	cellular_component	3	3	0.002764556	0.034602076	Q92552|Q9Y399|P82675|	MRPS27|MRPS2|MRPS5|
GO:0005763	mitochondrial small ribosomal subunit	cellular_component	3	3	0.002764556	0.034602076	Q92552|Q9Y399|P82675|	MRPS27|MRPS2|MRPS5|
GO:0005764	lysosome	cellular_component	21	1084	0.367061893	0.611028316	O94973|P38606|Q96CW1|P12109|P00387|P27105|P06280|P62873|Q99519|P50897|P61019|P51148|P51149|O00203|Q92820|P61916|Q96JC1|P61106|Q9H270|Q8IWA5|Q9H7Z7|	AP2A2|ATP6V1A|AP2M1|COL6A1|CYB5R3|STOM|GLA|GNB1|NEU1|PPT1|RAB2A|RAB5C|RAB7A|AP3B1|GGH|NPC2|VPS39|RAB14|VPS11|SLC44A2|PTGES2|
GO:0005765	lysosomal membrane	cellular_component	15	350	1.89E-04	0.009118541	O94973|P38606|Q96CW1|P12109|P27105|P62873|Q99519|P61019|P51148|P51149|O00203|Q96JC1|P61106|Q9H270|Q8IWA5|	AP2A2|ATP6V1A|AP2M1|COL6A1|STOM|GNB1|NEU1|RAB2A|RAB5C|RAB7A|AP3B1|VPS39|RAB14|VPS11|SLC44A2|
GO:0005766	primary lysosome	cellular_component	7	99	0.256413271	0.474493927	P00387|P27105|P06280|P51148|Q92820|P61916|Q9H7Z7|	CYB5R3|STOM|GLA|RAB5C|GGH|NPC2|PTGES2|
GO:0005768	endosome	cellular_component	18	418	8.57E-08	0.009118541	O94973|P62330|P61586|Q15904|Q96CW1|P55085|P05556|P61006|P62820|P51148|P51149|Q13546|P61026|Q96JC1|Q9UH99|Q9UHD2|P61106|Q9H270|	AP2A2|ARF6|RHOA|ATP6AP1|AP2M1|F2RL1|ITGB1|RAB8A|RAB1A|RAB5C|RAB7A|RIPK1|RAB10|VPS39|SUN2|TBK1|RAB14|VPS11|
GO:0005769	early endosome	cellular_component	6	37	0.001921998	0.034602076	P62330|P55085|P62820|P51148|P61106|Q9H270|	ARF6|F2RL1|RAB1A|RAB5C|RAB14|VPS11|
GO:0005770	late endosome	cellular_component	4	8	9.45E-04	0.009118541	P51149|Q96JC1|P61106|Q9H270|	RAB7A|VPS39|RAB14|VPS11|
GO:0005773	vacuole	cellular_component	21	1084	0.367061893	0.611028316	O94973|P38606|Q96CW1|P12109|P00387|P27105|P06280|P62873|Q99519|P50897|P61019|P51148|P51149|O00203|Q92820|P61916|Q96JC1|P61106|Q9H270|Q8IWA5|Q9H7Z7|	AP2A2|ATP6V1A|AP2M1|COL6A1|CYB5R3|STOM|GLA|GNB1|NEU1|PPT1|RAB2A|RAB5C|RAB7A|AP3B1|GGH|NPC2|VPS39|RAB14|VPS11|SLC44A2|PTGES2|
GO:0005774	vacuolar membrane	cellular_component	15	350	1.89E-04	0.009118541	O94973|P38606|Q96CW1|P12109|P27105|P62873|Q99519|P61019|P51148|P51149|O00203|Q96JC1|P61106|Q9H270|Q8IWA5|	AP2A2|ATP6V1A|AP2M1|COL6A1|STOM|GNB1|NEU1|RAB2A|RAB5C|RAB7A|AP3B1|VPS39|RAB14|VPS11|SLC44A2|
GO:0005775	vacuolar lumen	cellular_component	7	65	0.006344975	0.109433962	P00387|P06280|Q99519|P50897|Q92820|P61916|Q9H7Z7|	CYB5R3|GLA|NEU1|PPT1|GGH|NPC2|PTGES2|
GO:0005777	peroxisome	cellular_component	5	45	0.235733617	0.459459459	O95573|P14735|O00116|O14975|Q2T9J0|	ACSL3|IDE|AGPS|SLC27A2|TYSND1|
GO:0005778	peroxisomal membrane	cellular_component	3	20	0.808820532	0.978115502	O95573|O00116|O14975|	ACSL3|AGPS|SLC27A2|
GO:0005782	peroxisomal matrix	cellular_component	3	4	0.005483653	0.034602076	P14735|O00116|Q2T9J0|	IDE|AGPS|TYSND1|
GO:0005783	endoplasmic reticulum	cellular_component	39	4201	0.863132934	1	P61586|Q15904|P12109|P00387|P27105|O95573|P35555|P09601|Q08431|O00469|P16435|P62820|P61019|P52306|O76094|O76024|Q13724|Q00765|O76061|Q9H4P4|Q9Y4L1|P61916|P61026|Q13438|Q12907|O14975|Q9NP72|Q8N766|Q9BS26|Q96S66|Q8TEM1|Q96DZ1|P61106|Q9NQC3|Q9H173|Q8NBJ5|Q8IWF2|Q9BZQ6|Q96HR9|	RHOA|ATP6AP1|COL6A1|CYB5R3|STOM|ACSL3|FBN1|HMOX1|MFGE8|PLOD2|POR|RAB1A|RAB2A|RAP1GDS1|SRP72|WFS1|MOGS|REEP5|STC2|RNF41|HYOU1|NPC2|RAB10|OS9|LMAN2|SLC27A2|RAB18|EMC1|ERP44|CLCC1|NUP210|ERLEC1|RAB14|RTN4|SIL1|COLGALT1|FOXRED2|EDEM3|REEP6|
GO:0005786	"signal recognition particle, endoplasmic reticulum targeting"	cellular_component	3	3	0.002764556	0.034602076	P09132|P61011|O76094|	SRP19|SRP54|SRP72|
GO:0005788	endoplasmic reticulum lumen	cellular_component	14	497	0.608860631	0.824457594	P12109|P35555|Q08431|O76024|O76061|Q9Y4L1|Q13438|O14975|Q9BS26|Q96DZ1|Q9H173|Q8NBJ5|Q8IWF2|Q9BZQ6|	COL6A1|FBN1|MFGE8|WFS1|STC2|HYOU1|OS9|SLC27A2|ERP44|ERLEC1|SIL1|COLGALT1|FOXRED2|EDEM3|
GO:0005789	endoplasmic reticulum membrane	cellular_component	21	1195	0.798915105	0.964351567	P61586|Q15904|P00387|O95573|P09601|O00469|P16435|P62820|P61019|O76024|Q13724|P61026|Q13438|Q12907|O14975|Q9NP72|Q8N766|Q9BS26|Q8TEM1|Q9NQC3|Q96HR9|	RHOA|ATP6AP1|CYB5R3|ACSL3|HMOX1|PLOD2|POR|RAB1A|RAB2A|WFS1|MOGS|RAB10|OS9|LMAN2|SLC27A2|RAB18|EMC1|ERP44|NUP210|RTN4|REEP6|
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	cellular_component	7	93	0.163844325	0.384684685	Q15904|Q08379|Q14789|P61019|Q12907|Q9BS26|Q9BQQ3|	ATP6AP1|GOLGA2|GOLGB1|RAB2A|LMAN2|ERP44|GORASP1|
GO:0005794	Golgi apparatus	cellular_component	28	1824	0.089786261	0.26221336	P62330|P55085|O95573|P06280|Q08379|Q14789|P61006|P50897|P62820|P61019|O75534|P51149|O00203|O76061|Q5VU43|Q99996|O43823|P61026|Q12907|O14578|Q9NP72|Q96S66|Q9NY61|Q7Z5G4|P61106|Q96SN8|Q9BQQ3|Q9H7Z7|	ARF6|F2RL1|ACSL3|GLA|GOLGA2|GOLGB1|RAB8A|PPT1|RAB1A|RAB2A|CSDE1|RAB7A|AP3B1|STC2|PDE4DIP|AKAP9|AKAP8|RAB10|LMAN2|CIT|RAB18|CLCC1|AATF|GOLGA7|RAB14|CDK5RAP2|GORASP1|PTGES2|
GO:0005795	Golgi stack	cellular_component	6	68	0.220652699	0.44269103	Q08379|Q14789|Q99996|O14578|Q7Z5G4|P61106|	GOLGA2|GOLGB1|AKAP9|CIT|GOLGA7|RAB14|
GO:0005798	Golgi-associated vesicle	cellular_component	4	10	0.002241051	0.034602076	Q08379|P61006|Q12907|P61106|	GOLGA2|RAB8A|LMAN2|RAB14|
GO:0005801	cis-Golgi network	cellular_component	3	7	0.029419017	0.26221336	Q08379|Q14789|Q99996|	GOLGA2|GOLGB1|AKAP9|
GO:0005802	trans-Golgi network	cellular_component	3	3	0.002764556	0.034602076	P61006|P61026|P61106|	RAB8A|RAB10|RAB14|
GO:0005811	lipid droplet	cellular_component	4	40	0.862169674	1	P00387|O95573|P51148|P51149|	CYB5R3|ACSL3|RAB5C|RAB7A|
GO:0005813	centrosome	cellular_component	22	498	1.92E-13	0.009118541	P49454|P61006|O95613|P17612|P13861|P31323|Q5VU43|Q66GS9|Q5VT06|Q99996|Q96CW5|Q9BSJ2|Q7Z7A1|O95684|Q9BV73|Q9Y2I6|Q76N32|P37198|Q8N4C6|Q96SN8|Q86YT6|Q8TD19|	CENPF|RAB8A|PCNT|PRKACA|PRKAR2A|PRKAR2B|PDE4DIP|CEP135|CEP350|AKAP9|TUBGCP3|TUBGCP2|CNTRL|FGFR1OP|CEP250|NINL|CEP68|NUP62|NIN|CDK5RAP2|MIB1|NEK9|
GO:0005814	centriole	cellular_component	8	42	1.48E-06	0.009118541	P61006|O95613|Q66GS9|Q5VT06|Q96CW5|O95684|Q9BV73|Q8N4C6|	RAB8A|PCNT|CEP135|CEP350|TUBGCP3|FGFR1OP|CEP250|NIN|
GO:0005815	microtubule organizing center	cellular_component	22	498	1.92E-13	0.009118541	P49454|P61006|O95613|P17612|P13861|P31323|Q5VU43|Q66GS9|Q5VT06|Q99996|Q96CW5|Q9BSJ2|Q7Z7A1|O95684|Q9BV73|Q9Y2I6|Q76N32|P37198|Q8N4C6|Q96SN8|Q86YT6|Q8TD19|	CENPF|RAB8A|PCNT|PRKACA|PRKAR2A|PRKAR2B|PDE4DIP|CEP135|CEP350|AKAP9|TUBGCP3|TUBGCP2|CNTRL|FGFR1OP|CEP250|NINL|CEP68|NUP62|NIN|CDK5RAP2|MIB1|NEK9|
GO:0005819	spindle	cellular_component	9	128	0.010655349	0.109433962	P49454|Q08379|P78406|Q5VT06|Q96CW5|Q9BSJ2|P37198|Q8N4C6|Q96SN8|	CENPF|GOLGA2|RAE1|CEP350|TUBGCP3|TUBGCP2|NUP62|NIN|CDK5RAP2|
GO:0005829	cytosol	cellular_component	87	19520	0.00141997	0.034602076	O94973|P62330|P61586|P38606|P49454|Q96CW1|P19784|P67870|P00387|P55789|P62873|P09601|P14735|P27448|P61006|Q9HCE1|Q99567|P52948|O95613|P09884|P16435|P50897|P17612|P13861|P31323|P48556|P62820|P61019|P52306|Q92900|P09132|P61011|O76094|Q04724|Q15056|O75534|P51149|P35658|Q13617|O00116|Q13546|Q13310|Q92820|Q66GS9|Q9UN86|P62877|Q99996|Q13283|Q9H4P4|P61970|P61962|Q96CW5|O95391|Q9BSJ2|P61026|O14975|Q7Z7A1|O14578|O95684|Q9BV73|Q96B26|Q9NP72|Q9Y2I6|Q76N32|Q92615|Q9NU22|Q13868|O60885|Q14181|Q9Y3U8|P11940|Q9NZL9|Q9UHD2|Q9NQT5|Q9Y375|Q9BQ95|P61106|Q9NXK8|Q96SN8|Q9NQT4|Q86YT6|Q9H773|Q8TAD8|Q9H7Z7|Q8TD19|Q4KMQ2|Q2T9J0|	AP2A2|ARF6|RHOA|ATP6V1A|CENPF|AP2M1|CSNK2A2|CSNK2B|CYB5R3|GFER|GNB1|HMOX1|IDE|MARK3|RAB8A|MOV10|NUP88|NUP98|PCNT|POLA1|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|PSMD8|RAB1A|RAB2A|RAP1GDS1|UPF1|SRP19|SRP54|SRP72|TLE1|EIF4H|CSDE1|RAB7A|NUP214|CUL2|AGPS|RIPK1|PABPC4|GGH|CEP135|G3BP2|RBX1|AKAP9|G3BP1|RNF41|NUTF2|DCAF7|TUBGCP3|SLU7|TUBGCP2|RAB10|SLC27A2|CNTRL|CIT|FGFR1OP|CEP250|EXOSC8|RAB18|NINL|CEP68|LARP4B|MDN1|EXOSC2|BRD4|POLA2|RPL36|PABPC1|MAT2B|TBK1|EXOSC3|NDUFAF1|ECSIT|RAB14|FBXL12|CDK5RAP2|EXOSC5|MIB1|DCTPP1|SNIP1|PTGES2|NEK9|ANO6|TYSND1|
GO:0005840	ribosome	cellular_component	6	23	5.94E-05	0.009118541	Q92552|Q92615|Q9Y3U8|Q9Y399|P82663|P82675|	MRPS27|LARP4B|RPL36|MRPS2|MRPS25|MRPS5|
GO:0005844	polysome	cellular_component	3	4	0.005483653	0.034602076	Q15056|Q92615|Q9Y3U8|	EIF4H|LARP4B|RPL36|
GO:0005856	cytoskeleton	cellular_component	34	2078	3.48E-07	0.009118541	P61586|P49454|Q7KZI7|P27105|Q08379|P13984|Q9P0L2|P61006|O95613|P17612|P13861|P31323|P35241|P78406|O14745|Q5VU43|Q66GS9|Q5VT06|Q99996|Q96CW5|Q9BSJ2|Q7Z7A1|O95684|Q9BV73|Q9Y2I6|O75592|Q76N32|Q9NU22|P37198|Q9UJZ1|Q8N4C6|Q96SN8|Q86YT6|Q8TD19|	RHOA|CENPF|MARK2|STOM|GOLGA2|GTF2F2|MARK1|RAB8A|PCNT|PRKACA|PRKAR2A|PRKAR2B|RDX|RAE1|SLC9A3R1|PDE4DIP|CEP135|CEP350|AKAP9|TUBGCP3|TUBGCP2|CNTRL|FGFR1OP|CEP250|NINL|MYCBP2|CEP68|MDN1|NUP62|STOML2|NIN|CDK5RAP2|MIB1|NEK9|
GO:0005874	microtubule	cellular_component	7	41	7.54E-05	0.009118541	Q08379|O95613|Q96CW5|Q9BSJ2|Q9Y2I6|Q8N4C6|Q96SN8|	GOLGA2|PCNT|TUBGCP3|TUBGCP2|NINL|NIN|CDK5RAP2|
GO:0005886	plasma membrane	cellular_component	45	3874	4.17E-08	0.009118541	O94973|P62330|P61586|P05026|P38606|Q96CW1|P12109|P19784|P67870|Q7KZI7|P27105|P55085|P62873|P63218|P09601|P14735|P05556|Q9P0L2|P27448|P61006|Q08431|Q99519|P17612|P13861|P31323|P51148|P11233|P35241|O75534|P51149|Q13546|O14745|Q99996|P61026|Q12907|O14975|O14578|Q9NP72|Q9UJZ1|Q8N4C6|P61106|Q9NQC3|Q8IWA5|Q86YT6|Q4KMQ2|	AP2A2|ARF6|RHOA|ATP1B1|ATP6V1A|AP2M1|COL6A1|CSNK2A2|CSNK2B|MARK2|STOM|F2RL1|GNB1|GNG5|HMOX1|IDE|ITGB1|MARK1|MARK3|RAB8A|MFGE8|NEU1|PRKACA|PRKAR2A|PRKAR2B|RAB5C|RALA|RDX|CSDE1|RAB7A|RIPK1|SLC9A3R1|AKAP9|RAB10|LMAN2|SLC27A2|CIT|RAB18|STOML2|NIN|RAB14|RTN4|SLC44A2|MIB1|ANO6|
GO:0005887	integral component of plasma membrane	cellular_component	6	49	0.019236919	0.109433962	P05026|P27105|P55085|P05556|Q99996|Q12907|	ATP1B1|STOM|F2RL1|ITGB1|AKAP9|LMAN2|
GO:0005902	microvillus	cellular_component	3	10	0.105790915	0.30106486	P38606|P35241|O14745|	ATP6V1A|RDX|SLC9A3R1|
GO:0005911	cell-cell junction	cellular_component	5	26	0.007017513	0.109433962	P61586|P05026|P05556|P35241|P61026|	RHOA|ATP1B1|ITGB1|RDX|RAB10|
GO:0005912	adherens junction	cellular_component	11	195	0.004394299	0.034602076	P62330|P61586|P05556|P13861|P11233|P35241|P35658|Q13283|Q9Y4L1|P61026|P11940|	ARF6|RHOA|ITGB1|PRKAR2A|RALA|RDX|NUP214|G3BP1|HYOU1|RAB10|PABPC1|
GO:0005924	cell-substrate adherens junction	cellular_component	11	195	0.004394299	0.034602076	P62330|P61586|P05556|P13861|P11233|P35241|P35658|Q13283|Q9Y4L1|P61026|P11940|	ARF6|RHOA|ITGB1|PRKAR2A|RALA|RDX|NUP214|G3BP1|HYOU1|RAB10|PABPC1|
